MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,3,3,0,0,2,2,1,1,0,2,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1
0,0,0,1,0,0,1,0,3,0,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,4,0,0,0,2,3,0,5,5,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,6,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,2,0,6,2,0,0,0,0,2,7,7,0,0,3,3,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,7,3,0,0,2,0,0,8,8,0,0,4,2,1,1,0,2,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1
0,0,0,0,0,0,2,0,8,3,1,1,3,3,2,9,8,0,0,1,1,1,1,0,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9,0,0,0,1,3,0,10,9,1,0,3,3,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,10,0,0,0,0,4,0,11,10,1,0,5,2,2,2,0,0,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,1,2
0,0,0,2,0,0,0,0,9,0,0,0,1,3,2,12,11,1,0,3,4,1,1,0,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2
0,0,0,1,0,0,2,0,11,0,0,0,1,1,0,14,13,1,0,1,1,0,1,0,1,0,2,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0
1,0,0,0,0,0,2,0,8,0,0,0,3,0,1,15,14,0,0,2,5,1,1,0,2,0,0,0,2,1,0,0,1,1,0,0,0,0,3,0,0,0
