MSZoning,Utilities,LotConfig,LandSlope,ExterCond,Heating,PoolQC,MiscFeature,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,SalePrice,OverallCond,OverallQual
0,0,0,0,0,0,0,0,856,856,1710,2,8,0,2,548,208500,5,7
0,0,1,0,0,0,0,0,1262,1262,1262,2,6,1,2,460,181500,8,6
0,0,0,0,0,0,0,0,920,920,1786,2,6,1,2,608,223500,5,7
0,0,2,0,0,0,0,0,756,961,1717,1,7,1,3,642,140000,5,7
0,0,1,0,0,0,0,0,1145,1145,2198,2,9,1,3,836,250000,5,8
0,0,0,0,0,0,0,1,796,796,1362,1,5,0,2,480,143000,5,5
0,0,0,0,0,0,0,0,1686,1694,1694,2,7,1,2,636,307000,5,8
0,0,2,0,0,0,0,1,1107,1107,2090,2,7,2,2,484,200000,6,7
1,0,0,0,0,0,0,0,952,1022,1774,2,8,2,2,468,129900,5,7
0,0,2,0,0,0,0,0,991,1077,1077,1,5,2,1,205,118000,6,5
0,0,0,0,0,0,0,0,1040,1040,1040,1,5,0,1,384,129500,5,5
0,0,0,0,0,0,0,0,1175,1182,2324,3,11,2,3,736,345000,5,9
0,0,0,0,0,0,0,0,912,912,912,1,4,0,1,352,144000,6,5
0,0,0,0,0,0,0,0,1494,1494,1494,2,7,1,3,840,279500,5,7
0,0,2,0,0,0,0,0,1253,1253,1253,1,5,1,1,352,157000,5,6
1,0,2,0,0,0,0,0,832,854,854,1,5,0,2,576,132000,8,7
0,0,3,0,0,0,0,1,1004,1004,1004,1,5,1,2,480,149000,7,6
0,0,0,0,0,0,0,1,0,1296,1296,2,6,0,2,516,90000,5,4
0,0,0,0,0,0,0,0,1114,1114,1114,1,6,0,2,576,159000,5,5
0,0,0,0,0,0,0,0,1029,1339,1339,1,6,0,1,294,139000,6,5
0,0,2,0,0,0,0,0,1158,1158,2376,3,9,1,3,853,325300,5,8
1,0,0,0,0,0,0,0,637,1108,1108,1,6,1,1,280,139400,7,7
0,0,0,0,0,0,0,0,1777,1795,1795,2,7,1,2,534,230000,5,8
1,0,0,0,0,0,0,0,1040,1060,1060,1,6,1,2,572,129900,7,5
0,0,0,0,1,0,0,0,1060,1060,1060,1,6,1,1,270,154000,8,5
0,0,2,0,0,0,0,0,1566,1600,1600,2,7,1,3,890,256300,5,8
0,0,2,0,0,0,0,0,900,900,900,1,5,0,2,576,134800,7,5
0,0,0,0,0,0,0,0,1704,1704,1704,2,7,1,3,772,306000,5,8
0,0,3,0,0,0,0,0,1484,1600,1600,1,6,2,1,319,207500,6,5
1,0,0,0,0,0,0,0,520,520,520,1,4,0,1,240,68500,6,4
2,0,0,0,2,0,0,0,649,649,1317,1,6,0,1,250,40000,4,4
0,0,3,0,0,0,0,0,1228,1228,1228,1,6,0,1,271,149350,6,5
0,0,2,0,0,0,0,0,1234,1234,1234,2,7,0,2,484,179900,5,8
0,0,0,0,0,0,0,0,1398,1700,1700,1,6,1,2,447,165500,5,5
0,0,0,0,0,0,0,0,1561,1561,1561,2,6,1,2,556,277500,5,9
0,0,0,0,0,0,0,0,1117,1132,2452,3,9,1,3,691,309000,5,8
0,0,2,0,0,0,0,0,1097,1097,1097,1,6,0,2,672,145000,5,5
0,0,0,0,0,0,0,0,1297,1297,1297,1,5,1,2,498,153000,6,5
0,0,0,0,1,0,0,0,1057,1057,1057,1,5,0,1,246,109000,7,5
0,0,0,0,0,0,0,0,0,1152,1152,2,6,0,0,0,82000,5,4
